Position;Track_Name;Artist;Streams;Date
1;One Dance;Drake;89403;2017-01-01
2;Starboy;The Weeknd;80882;2017-01-01
3;24K Magic;Bruno Mars;80838;2017-01-01
4;My Way;Calvin Harris;72133;2017-01-01
5;Mauvaise graine;Nekfeu;71082;2017-01-01
6;Squa;Nekfeu;70542;2017-01-01
7;Let Me Love You;DJ Snake;69647;2017-01-01
8;Afro Trap Pt. 7 (La puissance);MHD;62394;2017-01-01
9;Black Beatles;Rae Sremmurd;60080;2017-01-01
10;Tchoin;Kaaris;59226;2017-01-01
11;Sunset Lover;Petit Biscuit;58821;2017-01-01
12;Rockabye (feat. Sean Paul & Anne-Marie);Clean Bandit;58735;2017-01-01
13;Saturne;Nekfeu;58270;2017-01-01
14;Tchikita;Jul;56744;2017-01-01
15;Onizuka;PNL;56545;2017-01-01
16;Lordly (feat. Alex Aiono);Feder;55745;2017-01-01
17;Pop Corn;Boostee;54892;2017-01-01
18;I Took A Pill In Ibiza - Seeb Remix;Mike Posner;54286;2017-01-01
19;Human;Rag'n'Bone Man;53830;2017-01-01
20;DKR;Booba;53653;2017-01-01
21;Ride;Twenty One Pilots;53226;2017-01-01
22;I Feel It Coming;The Weeknd;52113;2017-01-01
23;Heathens;Twenty One Pilots;51884;2017-01-01
24;Lush Life;Zara Larsson;51117;2017-01-01
25;Don't Wanna Know;Maroon 5;50895;2017-01-01
26;Aloha;Møme;50720;2017-01-01
27;Cheap Thrills;Sia;50556;2017-01-01
28;Closer;The Chainsmokers;50520;2017-01-01
29;"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")";Justin Timberlake;50021;2017-01-01
30;Work from Home;Fifth Harmony;49229;2017-01-01
31;The Ocean;Mike Perry;48424;2017-01-01
32;Heal Tomorrow;Naïve New Beaters;47997;2017-01-01
33;Ain't Your Mama;Jennifer Lopez;47913;2017-01-01
34;Sex;Cheat Codes;46127;2017-01-01
35;Cold Water (feat. Justin Bieber & MØ);Major Lazer;46064;2017-01-01
36;Naha;PNL;45800;2017-01-01
37;In the Name of Love;Martin Garrix;44289;2017-01-01
38;Bazardée;KeBlack;43993;2017-01-01
39;6.45i;SCH;43304;2017-01-01
40;Hymn For The Weekend - Seeb Remix;Coldplay;43128;2017-01-01
41;Infréquentables;Dosseh;42866;2017-01-01
42;Perfect Strangers;Jonas Blue;42224;2017-01-01
43;Réalité augmentée;Nekfeu;41939;2017-01-01
44;On m'appelle l'ovni;Jul;41938;2017-01-01
45;Light It Up (feat. Nyla & Fuse ODG) - Remix;Major Lazer;41138;2017-01-01
46;Humanoïde;Nekfeu;40763;2017-01-01
47;Final Song;MØ;38966;2017-01-01
48;Treat You Better;Shawn Mendes;38629;2017-01-01
49;Hundred Miles;Yall;38384;2017-01-01
50;Panda;Desiigner;38195;2017-01-01
51;Blow;Kaaris;38150;2017-01-01
52;Call On Me - Ryan Riback Extended Remix;Starley;37214;2017-01-01
53;Fast Car;Jonas Blue;36561;2017-01-01
54;Oblah;Gradur;36250;2017-01-01
55;Avant tu riais;Nekfeu;36208;2017-01-01
56;Bené;PNL;35639;2017-01-01
57;This Is What You Came For;Calvin Harris;35350;2017-01-01
58;"i hate u, i love u (feat. olivia o'brien)";gnash;35291;2017-01-01
59;Galatée;Nekfeu;35124;2017-01-01
60;Mercy;Shawn Mendes;35019;2017-01-01
61;Dans la légende;PNL;34920;2017-01-01
62;Say You Won't Let Go;James Arthur;34863;2017-01-01
63;Esquimaux;Nekfeu;34214;2017-01-01
